Áß¶û±¸,Date
79.7372595559778,2023-01-01
75.77408689213436,2023-02-01
42.03842806042496,2023-03-01
83.81234735541454,2023-04-01
115.27572645664884,2023-05-01
131.1434547079738,2023-06-01
119.56969559729097,2023-07-01
-1.1408430012765365,2023-08-01
93.82309896524579,2023-09-01
44.173963674515136,2023-10-01
272.9665234241572,2023-11-01
74.13213622039493,2023-12-01
64.58796903788509,2024-01-01
73.25624082890891,2024-02-01
107.46865203335544,2024-03-01
62.595870152965176,2024-04-01
62.97395312503998,2024-05-01
73.02112854309235,2024-06-01
96.30038662780414,2024-07-01
94.86445899938532,2024-08-01
65.82978822891046,2024-09-01
115.19605067385842,2024-10-01
91.113155935379,2024-11-01
113.54049108983284,2024-12-01
71.29313818238029,2025-01-01
41.431483366513966,2025-02-01
72.62992399068511,2025-03-01
56.13727922348332,2025-04-01
67.291977556989,2025-05-01
79.81008764758694,2025-06-01
92.02142655821915,2025-07-01
50.12740994797471,2025-08-01
61.9849140027664,2025-09-01
77.7906466351395,2025-10-01
138.6716436162406,2025-11-01
88.31916051365974,2025-12-01
56.24012766588346,2026-01-01
39.430879990930464,2026-02-01
37.94301147674429,2026-03-01
50.342455133989574,2026-04-01
71.86649101388448,2026-05-01
86.32528565466069,2026-06-01
86.9099509940277,2026-07-01
5.2447375030581185,2026-08-01
58.44494644562789,2026-09-01
41.24474769209749,2026-10-01
186.44107916876038,2026-11-01
62.3137361718329,2026-12-01
