µµºÀ±¸,Date
18.379644542410134,2023-01-01
17.94537194380162,2023-02-01
7.472255132759194,2023-03-01
23.82897617669242,2023-04-01
19.93595340002702,2023-05-01
16.540853709477375,2023-06-01
19.366531731092184,2023-07-01
34.981658488276246,2023-08-01
6.117436591935419,2023-09-01
16.468180923479437,2023-10-01
24.8169707433181,2023-11-01
16.73532394923845,2023-12-01
25.34581698796267,2024-01-01
25.51967539690511,2024-02-01
27.170115146132016,2024-03-01
23.56838674161097,2024-04-01
21.431296132154298,2024-05-01
27.65838746034584,2024-06-01
25.342549393852035,2024-07-01
20.88323927032703,2024-08-01
25.791425087378492,2024-09-01
24.273265591627748,2024-10-01
24.047145323090483,2024-11-01
27.588417906656808,2024-12-01
24.018858052945745,2025-01-01
22.007314934936872,2025-02-01
27.090782450735286,2025-03-01
30.070052277216345,2025-04-01
27.441479028416875,2025-05-01
30.436553255829573,2025-06-01
29.744694360043855,2025-07-01
32.130074102172344,2025-08-01
25.81108976427062,2025-09-01
28.08647359758725,2025-10-01
30.77017900805151,2025-11-01
30.429015103245547,2025-12-01
30.89872824889203,2026-01-01
29.735938801687876,2026-02-01
27.00435236732767,2026-03-01
36.638338519857264,2026-04-01
33.42453972592381,2026-05-01
33.211178884286234,2026-06-01
34.23413181034914,2026-07-01
43.31263263890431,2026-08-01
25.732801557240485,2026-09-01
31.965273104688293,2026-10-01
37.50835464862449,2026-11-01
33.29210105758541,2026-12-01
