¿ë»ê±¸,Date
29.157683190263384,2023-01-01
26.55236654768514,2023-02-01
13.973365592409198,2023-03-01
1.6012196103345389,2023-04-01
29.851962721512045,2023-05-01
33.896971271208855,2023-06-01
44.93877670379483,2023-07-01
27.938096901080268,2023-08-01
14.500131466306403,2023-09-01
25.156390913021724,2023-10-01
26.127218298023333,2023-11-01
27.902535157239463,2023-12-01
39.74480997020186,2024-01-01
39.13206859170137,2024-02-01
40.52765074761331,2024-03-01
36.588741260106225,2024-04-01
24.608379754985986,2024-05-01
26.94368369956853,2024-06-01
28.71608231312547,2024-07-01
30.568253753449916,2024-08-01
40.45098947038467,2024-09-01
27.73388570767375,2024-10-01
42.77055495214186,2024-11-01
31.99673395128525,2024-12-01
25.06943126869568,2025-01-01
17.573143490385608,2025-02-01
37.515143828612274,2025-03-01
30.387599844681915,2025-04-01
31.683112966491397,2025-05-01
34.73456464763478,2025-06-01
39.81076366979873,2025-07-01
35.52644353108007,2025-08-01
37.47024043981235,2025-09-01
32.419344860327016,2025-10-01
42.74713364651199,2025-11-01
36.02764295154809,2025-12-01
35.44591198435658,2026-01-01
30.54577935546983,2026-02-01
34.251840563805445,2026-03-01
24.312135567661773,2026-04-01
39.02341215787258,2026-05-01
42.64652348924209,2026-06-01
50.81326351375555,2026-07-01
40.241668227186196,2026-08-01
34.40883504239536,2026-09-01
37.150877123804605,2026-10-01
42.78934926015242,2026-11-01
40.25509536677351,2026-12-01
