°­³²±¸,Date
67.6174130389365,2023-01-01
52.356538802313494,2023-02-01
40.69726368285259,2023-03-01
55.92172754106858,2023-04-01
80.76477820628833,2023-05-01
43.79329444276189,2023-06-01
62.94651962811595,2023-07-01
66.12063229606763,2023-08-01
80.66965909508747,2023-09-01
56.62377762268368,2023-10-01
53.81827857395891,2023-11-01
39.86152425296725,2023-12-01
84.83357776566693,2024-01-01
63.694333789453935,2024-02-01
70.78121722570795,2024-03-01
60.40123797547236,2024-04-01
64.77036592530501,2024-05-01
70.26173423969611,2024-06-01
72.40969898519693,2024-07-01
75.43095602150102,2024-08-01
42.91977289995568,2024-09-01
62.595970047566944,2024-10-01
75.6149019820534,2024-11-01
86.08518516973152,2024-12-01
49.837197303596,2025-01-01
44.83880409638442,2025-02-01
66.09382946195748,2025-03-01
64.01329705920183,2025-04-01
75.4363204120167,2025-05-01
66.77249061829238,2025-06-01
74.36266309236865,2025-07-01
77.32115159467017,2025-08-01
60.7323506792398,2025-09-01
66.16648293436813,2025-10-01
73.79042451894773,2025-11-01
75.61776497219867,2025-12-01
66.421105842193,2026-01-01
56.54117977371759,2026-02-01
61.29975414677523,2026-03-01
67.75656502434542,2026-04-01
86.00624559123037,2026-05-01
63.18379916847941,2026-06-01
76.44362197229376,2026-07-01
79.45496101317897,2026-08-01
78.55775430876474,2026-09-01
69.4127490118131,2026-10-01
71.75796567089488,2026-11-01
65.44171912992539,2026-12-01
