¼ÛÆÄ±¸,Date
23.271055550467857,2023-01-01
17.747144862516024,2023-02-01
22.595149917309787,2023-03-01
25.405041646428124,2023-04-01
38.641649749396294,2023-05-01
19.523984493529266,2023-06-01
35.39633850672361,2023-07-01
29.745095470204348,2023-08-01
26.80750095065416,2023-09-01
26.86311694741604,2023-10-01
20.763291677833564,2023-11-01
16.80016175194902,2023-12-01
29.414487079522775,2024-01-01
22.264848234194925,2024-02-01
28.662142782190518,2024-03-01
35.36889785672937,2024-04-01
28.192336100140068,2024-05-01
31.727825141577632,2024-06-01
37.88963569943861,2024-07-01
29.70809387996583,2024-08-01
25.163258192904337,2024-09-01
17.52164490670129,2024-10-01
31.536268567085582,2024-11-01
35.74477247465651,2024-12-01
18.41202214225863,2025-01-01
15.63269875665251,2025-02-01
29.057060522227594,2025-03-01
34.35433879998466,2025-04-01
34.03625133306089,2025-05-01
30.04636031118474,2025-06-01
39.34980806610699,2025-07-01
32.01996321514162,2025-08-01
28.026141734710723,2025-09-01
23.066909299657286,2025-10-01
30.41609098981773,2025-11-01
31.673243885958055,2025-12-01
24.29383989388447,2026-01-01
20.226586009253847,2026-02-01
29.379985134843515,2026-03-01
33.37801037358753,2026-04-01
39.86612442856785,2026-05-01
28.323164186952077,2026-06-01
40.86420099009942,2026-07-01
34.37843766693841,2026-08-01
30.920892145000984,2026-09-01
28.527762878063506,2026-10-01
29.16954792516375,2026-11-01
27.702042290089942,2026-12-01
