Áß¶û±¸,Date
20.15320015431716,2023-01-01
19.746395884920908,2023-02-01
-0.8012950629400137,2023-03-01
20.660170193138224,2023-04-01
29.814359289762592,2023-05-01
16.58089390328754,2023-06-01
32.29974575257653,2023-07-01
31.326301356038705,2023-08-01
22.63066916456511,2023-09-01
21.840258729396492,2023-10-01
12.752311502451969,2023-11-01
24.47202113760405,2023-12-01
26.61240253048776,2024-01-01
27.2442170011034,2024-02-01
25.675379318415494,2024-03-01
19.59846490604307,2024-04-01
21.862166152846893,2024-05-01
32.003931014202905,2024-06-01
32.754664334533246,2024-07-01
26.15213251245495,2024-08-01
26.450071755491734,2024-09-01
26.351778848081832,2024-10-01
27.48003887135138,2024-11-01
26.2067347130887,2024-12-01
20.2217232208406,2025-01-01
17.212437835973503,2025-02-01
21.1534414359867,2025-03-01
24.10805028662193,2025-04-01
28.839624556206708,2025-05-01
31.17242378080692,2025-06-01
36.81391688063101,2025-07-01
32.174497573517904,2025-08-01
29.52440228397642,2025-09-01
29.18883345906342,2025-10-01
26.82783835728148,2025-11-01
29.80014977390588,2025-12-01
26.59054651288743,2026-01-01
24.97019831468401,2026-02-01
16.60983804420931,2026-03-01
28.746706250581582,2026-04-01
35.77616168418386,2026-05-01
30.31493575345235,2026-06-01
40.94724436954982,2026-07-01
38.184992573653005,2026-08-01
32.536036372504284,2026-09-01
31.969010453985444,2026-10-01
26.20167248681855,2026-11-01
33.506777547435526,2026-12-01
