±ÝÃµ±¸,Date
9.169995567353753,2023-01-01
8.057731669621782,2023-02-01
10.29737187715095,2023-03-01
6.321038288718561,2023-04-01
3.776170914676716,2023-05-01
10.12027213569007,2023-06-01
12.242408972579941,2023-07-01
21.80512127522799,2023-08-01
-4.077505369646408,2023-09-01
16.87049351351434,2023-10-01
15.00398722551001,2023-11-01
5.9385680895698085,2023-12-01
7.124324785867304,2024-01-01
6.436237526317895,2024-02-01
5.846005635019372,2024-03-01
7.8193761026799855,2024-04-01
5.640619054679021,2024-05-01
6.975244975330076,2024-06-01
9.404580864028507,2024-07-01
3.947769076586172,2024-08-01
28.009957467968476,2024-09-01
5.238666570552441,2024-10-01
4.9905470255567295,2024-11-01
5.465686411713829,2024-12-01
9.688655841021774,2025-01-01
7.859915502217904,2025-02-01
6.165462692545346,2025-03-01
6.172354193482227,2025-04-01
3.823149006636841,2025-05-01
6.82151390375086,2025-06-01
9.16171364197906,2025-07-01
8.887174505063324,2025-08-01
16.18123235990332,2025-09-01
7.778961923478677,2025-10-01
7.170985061673733,2025-11-01
4.520292635577196,2025-12-01
7.693011923290277,2026-01-01
6.2003871754594755,2026-02-01
6.483437380733664,2026-03-01
4.506479594938167,2026-04-01
2.0352142611330497,2026-05-01
6.704075661581192,2026-06-01
8.942341502041435,2026-07-01
13.674725080014007,2026-08-01
4.315779878874444,2026-09-01
10.490850704865338,2026-10-01
9.344137720296157,2026-11-01
3.511951779987573,2026-12-01
