°­¼­±¸,Date
28.052429836920673,2023-01-01
16.54612729963656,2023-02-01
11.917834033738972,2023-03-01
21.49002011166342,2023-04-01
29.885791499943117,2023-05-01
19.191095711395526,2023-06-01
29.450977007656874,2023-07-01
24.658183631208274,2023-08-01
20.46918813871126,2023-09-01
28.866233398726855,2023-10-01
24.936392311316624,2023-11-01
22.455584010638823,2023-12-01
34.546770493289316,2024-01-01
18.98502061499839,2024-02-01
28.790679149816135,2024-03-01
21.616371081112565,2024-04-01
22.8240828598041,2024-05-01
23.150212030804802,2024-06-01
26.012196981749373,2024-07-01
35.44623771795524,2024-08-01
17.097011113155624,2024-09-01
25.79523942104881,2024-10-01
35.29094633112136,2024-11-01
28.15341946049861,2024-12-01
20.40856162129309,2025-01-01
16.569384122703923,2025-02-01
24.924612517051276,2025-03-01
23.22558390344741,2025-04-01
26.9297376839763,2025-05-01
23.60775712874798,2025-06-01
28.953613042507317,2025-07-01
33.61013097946002,2025-08-01
19.9295370301278,2025-09-01
28.6294748407545,2025-10-01
33.62196887309179,2025-11-01
27.902149578316113,2025-12-01
26.85104897083555,2026-01-01
19.253611514383145,2026-02-01
21.055000329494696,2026-03-01
24.939995889279807,2026-04-01
31.04135898664407,2026-05-01
24.04479788176899,2026-06-01
31.85682032826294,2026-07-01
31.769821305539946,2026-08-01
22.810671235255242,2026-09-01
31.41018852992687,2026-10-01
31.92594192125566,2026-11-01
27.759213896652405,2026-12-01
