°­µ¿±¸,Date
8.41619364267449,2023-01-01
6.084289817113368,2023-02-01
9.226279019565311,2023-03-01
4.739267515669041,2023-04-01
11.415038310859718,2023-05-01
14.120739296612786,2023-06-01
12.796805879987636,2023-07-01
14.60540526355196,2023-08-01
12.735593196982869,2023-09-01
5.863084993282247,2023-10-01
15.644904438598738,2023-11-01
11.136724338358697,2023-12-01
6.3769622846660745,2024-01-01
4.131421157312425,2024-02-01
3.597622136158199,2024-03-01
8.853647632513308,2024-04-01
6.031038524368526,2024-05-01
11.625065847238593,2024-06-01
17.33380242009641,2024-07-01
11.468066934482314,2024-08-01
4.825511524894671,2024-09-01
15.303111498652843,2024-10-01
8.959949291855366,2024-11-01
7.634858834144875,2024-12-01
7.661316507195615,2025-01-01
5.284282824732795,2025-02-01
3.893265984190972,2025-03-01
5.892086757795874,2025-04-01
6.219370633761232,2025-05-01
10.904388053909642,2025-06-01
14.228018159990466,2025-07-01
10.882970239792206,2025-08-01
5.911613726638446,2025-09-01
10.568195798014614,2025-10-01
9.552376156287478,2025-11-01
7.241610785430663,2025-12-01
5.666942211946586,2026-01-01
3.2911859844965745,2026-02-01
4.181020347639425,2026-03-01
2.931367657417863,2026-04-01
6.425645083648497,2026-05-01
10.147579889769853,2026-06-01
11.126216229004548,2026-07-01
10.34015362397884,2026-08-01
6.960082561669415,2026-09-01
5.831677447329161,2026-10-01
10.192317017523475,2026-11-01
6.820416133933692,2026-12-01
